0;Novamente;lipsum dois; credo
1;Absenteísmo;É uma palavra com origem no latim, onde absens significa “estar fora, afastado ou ausente”. O absenteísmo consiste em se abster de alguma atividade ou função.;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
2;Ação corretiva;Ação realizada com objetivo de corrigir a causa de uma situação não desejável identificada.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
3;Ação preventiva;Ação realizada com objetivo de eliminar uma possível situação não desejável.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
4;Alta direção;Indivíduo ou grupo de indivíduos responsáveis por uma organização no mais alto nível;https://sites.google.com/site/planejaweb/dicionario-de-gestao
5;Ambiente de trabalho;Série de condições na qual um trabalho é realizado.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
6;Análise crítica;Avaliação com objetivo de identificar a importância, eficácia e adequação do que está sendo examinado;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
7;Análise de requisitos;Série de atividades que ajudam a determinar as necessidades do usuário para conseguir de forma clara os requisitos ou características de um sistema. Estes requisitos descrevem funcionalidades, restrições e desempenho esperados para o sistema.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
8;Análise SWOT;Ferramenta que analisa a competitividade de uma organização, considerando as seguintes variáveis: Forças, Oportunidades, Fraquezas, Ameaças. Em português, é chamada de “FOFA”.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
9;Aspecto ambiental;Elemento dos produtos, serviços ou atividades de uma organização que pode interagir com o meio ambiente.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
10;Assessment Management;Avaliação de potencial de profissionais.;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
11;Assiduidade ;Revela a qualidade do que é assíduo, ou tem uma duração persistente. Significa frequência, constância ou visita habitual.;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
12;Auditado;Organização ou indivíduo que está passando por auditoria.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
13;Auditor;Organização ou indivíduo que realiza a auditoria, tendo capacitação para tal.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
14;Auditoria;Processo sistemático, independente e documentado com objetivo de obter evidências e avaliá-las objetivamente para determinar a extensão nas quais os critérios da auditoria são atendidos;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
15;Autoavaliação ;Nesse formato de avaliação cada profissional avalia o próprio desempenho.;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
16;Autogestão;Modelo de gestão sem um superior (chefe ou patrão) onde todos os colaboradores participam das decisões gerenciais em igualdade de termos.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
17;Avaliação 180 graus;Esse modelo de avaliação é realizado em conjunto entre avaliador e avaliado, ou seja, a ferramenta de avaliação é analisada ao mesmo tempo e discutida pelos dois. Com esse método, a avaliação de desempenho é feita por todos aqueles que mantêm alguma interação com o avaliado.;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
18;Avaliação 360 grau;Sistema usado para medir o desempenho, em que o funcionário não é submetido somente à avaliação do chefe imediato, mas à dos colegas de trabalho, subordinados e até de clientes da empresa ;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
19;Avaliação 90 graus;O gestor avalia o colaborador;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
20;Avaliação conjunta;Esse modelo de avaliação é realizado em conjunto entre avaliador e avaliado, ou seja, a ferramenta de avaliação é analisada ao mesmo tempo e discutida pelos dois. Com esse método, a avaliação de desempenho é feita por todos aqueles que mantêm alguma interação com o avaliado.;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
21;Avaliação de Desempenho;É uma ferramenta importante de gestão de pessoas, que corresponde à uma única análise sistemática do desempenho do profissional em função das atividades que realiza, das metas estabelecidas, dos resultados alcançados e do seu potencial de desenvolvimento. É um processo que serve para julgar o valor, a excelência e a qualidade de uma pessoa e sua contribuição para a organização.;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
22;Avaliação direta;O gestor avalia o colaborador;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
23;B2B;Sigla fonética de "business to business". É o comércio eletrônico entre empresas. Trata-se de um mercado sem a participação do consumidor.;http://facer.edu.br/anexos/anexo_31032014212941.pdf
24;Balanced ScoreCard;Significa “cartão de aferição ponderada e integrada”, ligado ao processo de controle dos resultados da empresa. O BSC Manager traduz a estratégia em resultados, através do estabelecimento de objetivos, indicadores de desempenho, metas e ações, levando a um processo de monitoramento contínuo, analisando, concluindo e agindo junto com sua equipe, compartilhando seu “painel de comando”.;http://facer.edu.br/anexos/anexo_31032014212941.pdf
25;Benchmark;Parâmetros de excelência, exemplos de coisas boas;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
26;Benchmarking;Processo sistemático e contínuo de medida e comparação das práticas de uma organização com as das melhores empresas.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
27;Board;Conselho diretor;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
28;Bônus;Premiação em dinheiro concedida aos funcionários;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
29;Brainstorm;literalmente, significa “tempestade cerebral”. É uma reunião para se fazer exatamente isso: trocar idéias;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
30;Branding;É a construção da marca de uma empresa, produto ou pessoa;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
31;Break-even;Em português, ‘ponto de equilíbrio’: é quando os custos da empresa são iguais as suas receitas. O cálculo do break-even point (o momento a partir do qual custos e receitas de um negócio se equilibram, ou seja, o ponto de lucro zero da empresa) é muito importante para o processo de planejamento estratégico e financeiro.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
32;Breakthrough;Trata-se de um avanço em determinada área;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
